Time [sec]		Acceleration [m/sec2]	Velocity [mm/sec]	Displacement [mm]
0.00000   		0.00067         	0.00000          	0.00000          
0.00500   		-0.00207        	-0.00350         	-0.00000         
0.01000   		0.00471         	0.00310          	-0.00002         
0.01500   		0.00445         	0.02601          	0.00006          
0.02000   		-0.00203        	0.03206          	0.00021          
0.02500   		0.00230         	0.03274          	0.00037          
0.03000   		0.00289         	0.04574          	0.00056          
0.03500   		0.00294         	0.06033          	0.00083          
0.04000   		-0.00124        	0.06461          	0.00115          
0.04500   		-0.00227        	0.05583          	0.00145          
0.05000   		0.00341         	0.05869          	0.00173          
0.05500   		0.00161         	0.07125          	0.00205          
0.06000   		-0.00067        	0.07360          	0.00242          
0.06500   		-0.00049        	0.07070          	0.00278          
0.07000   		0.00322         	0.07752          	0.00314          
0.07500   		0.00197         	0.09049          	0.00357          
0.08000   		-0.00019        	0.09494          	0.00403          
0.08500   		0.00075         	0.09634          	0.00451          
0.09000   		0.00031         	0.09899          	0.00500          
0.09500   		0.00213         	0.10509          	0.00551          
0.10000   		-0.00280        	0.10341          	0.00604          
0.10500   		-0.00060        	0.09492          	0.00653          
0.11000   		0.00375         	0.10281          	0.00701          
0.11500   		-0.00010        	0.11194          	0.00756          
0.12000   		0.00030         	0.11244          	0.00812          
0.12500   		-0.00097        	0.11076          	0.00868          
0.13000   		0.00314         	0.11619          	0.00924          
0.13500   		0.00323         	0.13211          	0.00986          
0.14000   		-0.00321        	0.13215          	0.01053          
0.14500   		-0.00140        	0.12061          	0.01116          
0.15000   		0.00054         	0.11844          	0.01176          
0.15500   		0.00010         	0.12003          	0.01235          
0.16000   		-0.00570        	0.10602          	0.01293          
0.16500   		-0.00439        	0.08079          	0.01339          
0.17000   		0.00096         	0.07221          	0.01377          
0.17500   		-0.00143        	0.07103          	0.01413          
0.18000   		-0.00048        	0.06626          	0.01447          
0.18500   		-0.00205        	0.05993          	0.01479          
0.19000   		0.00136         	0.05820          	0.01508          
0.19500   		0.00094         	0.06395          	0.01538          
0.20000   		-0.00479        	0.05431          	0.01569          
0.20500   		-0.00001        	0.04231          	0.01592          
0.21000   		-0.00030        	0.04153          	0.01613          
0.21500   		-0.00036        	0.03989          	0.01634          
0.22000   		-0.00140        	0.03549          	0.01653          
0.22500   		-0.00191        	0.02722          	0.01668          
0.23000   		0.00350         	0.03121          	0.01682          
0.23500   		0.00028         	0.04065          	0.01701          
0.24000   		-0.00234        	0.03550          	0.01720          
0.24500   		-0.00099        	0.02718          	0.01736          
0.25000   		0.00035         	0.02557          	0.01748          
0.25500   		0.00009         	0.02667          	0.01762          
0.26000   		-0.00304        	0.01931          	0.01774          
0.26500   		-0.00263        	0.00514          	0.01780          
0.27000   		0.00199         	0.00353          	0.01781          
0.27500   		0.00071         	0.01028          	0.01785          
0.28000   		-0.00488        	-0.00017         	0.01788          
0.28500   		-0.00045        	-0.01351         	0.01784          
0.29000   		0.00164         	-0.01054         	0.01778          
0.29500   		0.00266         	0.00021          	0.01775          
0.30000   		0.00073         	0.00870          	0.01777          
0.30500   		-0.00132        	0.00722          	0.01782          
0.31000   		0.00747         	0.02260          	0.01787          
0.31500   		0.00228         	0.04698          	0.01806          
0.32000   		-0.00001        	0.05267          	0.01831          
0.32500   		0.00237         	0.05858          	0.01859          
0.33000   		-0.00007        	0.06433          	0.01890          
0.33500   		0.00250         	0.07042          	0.01923          
0.34000   		-0.00063        	0.07511          	0.01960          
0.34500   		0.00546         	0.08718          	0.01999          
0.35000   		0.01133         	0.12915          	0.02052          
0.35500   		0.01261         	0.18900          	0.02131          
0.36000   		0.01699         	0.26299          	0.02244          
0.36500   		0.01726         	0.34861          	0.02396          
0.37000   		0.02127         	0.44494          	0.02594          
0.37500   		0.01377         	0.53254          	0.02840          
0.38000   		0.00394         	0.57681          	0.03119          
0.38500   		0.00595         	0.60155          	0.03413          
0.39000   		0.00689         	0.63366          	0.03722          
0.39500   		0.00741         	0.66942          	0.04048          
0.40000   		0.00568         	0.70215          	0.04391          
0.40500   		0.00897         	0.73878          	0.04751          
0.41000   		0.01484         	0.79831          	0.05134          
0.41500   		0.00895         	0.85779          	0.05549          
0.42000   		0.00417         	0.89060          	0.05987          
0.42500   		0.01236         	0.93192          	0.06441          
0.43000   		0.02428         	1.02351          	0.06927          
0.43500   		0.03594         	1.17407          	0.07474          
0.44000   		0.04395         	1.37381          	0.08109          
0.44500   		0.05256         	1.61508          	0.08855          
0.45000   		0.06538         	1.90991          	0.09733          
0.45500   		0.06366         	2.23252          	0.10769          
0.46000   		0.06406         	2.55183          	0.11965          
0.46500   		0.07500         	2.89950          	0.13326          
0.47000   		0.08649         	3.30322          	0.14874          
0.47500   		0.09753         	3.76325          	0.16639          
0.48000   		0.08795         	4.22693          	0.18638          
0.48500   		0.08695         	4.66417          	0.20861          
0.49000   		0.08443         	5.09263          	0.23301          
0.49500   		0.05982         	5.45327          	0.25942          
0.50000   		0.04024         	5.70341          	0.28736          
0.50500   		0.01306         	5.83665          	0.31626          
0.51000   		-0.00102        	5.86676          	0.34555          
0.51500   		-0.02571        	5.79994          	0.37477          
0.52000   		-0.06016        	5.58527          	0.40330          
0.52500   		-0.06451        	5.27360          	0.43046          
0.53000   		-0.07181        	4.93282          	0.45599          
0.53500   		-0.06826        	4.58265          	0.47977          
0.54000   		-0.06829        	4.24126          	0.50183          
0.54500   		-0.06366        	3.91139          	0.52221          
0.55000   		-0.03086        	3.67509          	0.54110          
0.55500   		-0.00192        	3.59313          	0.55921          
0.56000   		0.04991         	3.71311          	0.57737          
0.56500   		0.10897         	4.11032          	0.59681          
0.57000   		0.15389         	4.76749          	0.61891          
0.57500   		0.17856         	5.59862          	0.64477          
0.58000   		0.16914         	6.46786          	0.67496          
0.58500   		0.16564         	7.30481          	0.70940          
0.59000   		0.16378         	8.12834          	0.74798          
0.59500   		0.15255         	8.91915          	0.79063          
0.60000   		0.14664         	9.66713          	0.83710          
0.60500   		0.15571         	10.42300         	0.88731          
0.61000   		0.17765         	11.25638         	0.94146          
0.61500   		0.17008         	12.12569         	0.99993          
0.62000   		0.12726         	12.86904         	1.06251          
0.62500   		0.06967         	13.36138         	1.12821          
0.63000   		0.01516         	13.57346         	1.19566          
0.63500   		-0.01652        	13.57008         	1.26358          
0.64000   		-0.02092        	13.47648         	1.33121          
0.64500   		0.02516         	13.48708         	1.39852          
0.65000   		0.10593         	13.81480         	1.46661          
0.65500   		0.16794         	14.49949         	1.53726          
0.66000   		0.18596         	15.38425         	1.61193          
0.66500   		0.16508         	16.26185         	1.69109          
0.67000   		0.10409         	16.93478         	1.77421          
0.67500   		-0.00956        	17.17109         	1.85971          
0.68000   		-0.12536        	16.83379         	1.94497          
0.68500   		-0.19635        	16.02952         	2.02727          
0.69000   		-0.21044        	15.01254         	2.10491          
0.69500   		-0.16678        	14.06947         	2.17752          
0.70000   		-0.08536        	13.43910         	2.24612          
0.70500   		0.03182         	13.30523         	2.31274          
0.71000   		0.13600         	13.72478         	2.38010          
0.71500   		0.17394         	14.49964         	2.45058          
0.72000   		0.12722         	15.25256         	2.52506          
0.72500   		0.01492         	15.60791         	2.60244          
0.73000   		-0.11098        	15.36773         	2.68014          
0.73500   		-0.24278        	14.48333         	2.75505          
0.74000   		-0.32141        	13.07287         	2.82410          
0.74500   		-0.32230        	11.46360         	2.88544          
0.75000   		-0.27936        	9.95947          	2.93891          
0.75500   		-0.19545        	8.77245          	2.98557          
0.76000   		-0.15026        	7.90816          	3.02717          
0.76500   		-0.11982        	7.23295          	3.06496          
0.77000   		-0.11956        	6.63451          	3.09963          
0.77500   		-0.21687        	5.79345          	3.13090          
0.78000   		-0.24726        	4.63314          	3.15703          
0.78500   		-0.26644        	3.34889          	3.17703          
0.79000   		-0.32192        	1.87800          	3.19021          
0.79500   		-0.32192        	0.26841          	3.19558          
0.80000   		-0.31007        	-1.31156         	3.19295          
0.80500   		-0.28485        	-2.79886         	3.18262          
0.81000   		-0.30152        	-4.26478         	3.16499          
0.81500   		-0.27875        	-5.71545         	3.13999          
0.82000   		-0.23673        	-7.00416         	3.10811          
0.82500   		-0.25151        	-8.22476         	3.07007          
0.83000   		-0.23377        	-9.43797         	3.02587          
0.83500   		-0.23754        	-10.61624        	2.97574          
0.84000   		-0.26648        	-11.87628        	2.91957          
0.84500   		-0.26427        	-13.20315        	2.85687          
0.85000   		-0.24912        	-14.48663        	2.78761          
0.85500   		-0.23522        	-15.69750        	2.71213          
0.86000   		-0.17956        	-16.73447        	2.63093          
0.86500   		-0.12494        	-17.49574        	2.54524          
0.87000   		-0.09910        	-18.05585        	2.45631          
0.87500   		-0.09605        	-18.54373        	2.36480          
0.88000   		-0.14929        	-19.15706        	2.27066          
0.88500   		-0.17587        	-19.96995        	2.17290          
0.89000   		-0.19020        	-20.88512        	2.07079          
0.89500   		-0.19114        	-21.83845        	1.96398          
0.90000   		-0.15975        	-22.71566        	1.85253          
0.90500   		-0.13843        	-23.46109        	1.73705          
0.91000   		-0.10648        	-24.07335        	1.61814          
0.91500   		-0.10759        	-24.60850        	1.49644          
0.92000   		-0.10371        	-25.13675        	1.37207          
0.92500   		-0.06971        	-25.57032        	1.24523          
0.93000   		-0.02202        	-25.79965        	1.11671          
0.93500   		0.03066         	-25.77804        	0.98765          
0.94000   		0.03404         	-25.61629        	0.85916          
0.94500   		0.06999         	-25.35622        	0.73165          
0.95000   		0.16005         	-24.78113        	0.60612          
0.95500   		0.24060         	-23.77950        	0.48455          
0.96000   		0.34474         	-22.31614        	0.36910          
0.96500   		0.41788         	-20.40957        	0.26213          
0.97000   		0.37409         	-18.42963        	0.16513          
0.97500   		0.29196         	-16.76451        	0.07731          
0.98000   		0.20701         	-15.51709        	-0.00322         
0.98500   		0.06330         	-14.84130        	-0.07881         
0.99000   		0.00255         	-14.67667        	-0.15248         
0.99500   		0.06089         	-14.51807        	-0.22559         
1.00000   		0.10072         	-14.11405        	-0.29725         
1.00500   		0.22632         	-13.29644        	-0.36604         
1.01000   		0.31880         	-11.93365        	-0.42931         
1.01500   		0.28903         	-10.41407        	-0.48512         
1.02000   		0.33042         	-8.86544         	-0.53340         
1.02500   		0.28136         	-7.33599         	-0.57380         
1.03000   		0.21032         	-6.10678         	-0.60726         
1.03500   		0.17521         	-5.14295         	-0.63531         
1.04000   		0.02611         	-4.63966         	-0.65946         
1.04500   		-0.00934        	-4.59774         	-0.68248         
1.05000   		-0.01845        	-4.66719         	-0.70562         
1.05500   		-0.03851        	-4.80958         	-0.72927         
1.06000   		0.06029         	-4.75513         	-0.75339         
1.06500   		0.15316         	-4.22152         	-0.77602         
1.07000   		0.29036         	-3.11274         	-0.79465         
1.07500   		0.37933         	-1.43853         	-0.80621         
1.08000   		0.33114         	0.33764          	-0.80886         
1.08500   		0.23894         	1.76284          	-0.80342         
1.09000   		0.06867         	2.53185          	-0.79233         
1.09500   		-0.09476        	2.46662          	-0.77949         
1.10000   		-0.17908        	1.78202          	-0.76869         
1.10500   		-0.22043        	0.78323          	-0.76219         
1.11000   		-0.16895        	-0.19022         	-0.76082         
1.11500   		-0.06157        	-0.76650         	-0.76343         
1.12000   		-0.04007        	-1.02058         	-0.76795         
1.12500   		-0.03166        	-1.19989         	-0.77351         
1.13000   		-0.02586        	-1.34368         	-0.77989         
1.13500   		-0.11476        	-1.69524         	-0.78730         
1.14000   		-0.10257        	-2.23857         	-0.79716         
1.14500   		-0.14310        	-2.85275         	-0.80980         
1.15000   		-0.23056        	-3.78690         	-0.82622         
1.15500   		-0.12877        	-4.68523         	-0.84761         
1.16000   		-0.10666        	-5.27379         	-0.87255         
1.16500   		-0.00930        	-5.56369         	-0.89985         
1.17000   		0.15032         	-5.21114         	-0.92712         
1.17500   		0.16652         	-4.41904         	-0.95123         
1.18000   		0.22388         	-3.44304         	-0.97100         
1.18500   		0.21145         	-2.35472         	-0.98547         
1.19000   		0.16014         	-1.42575         	-0.99482         
1.19500   		0.16209         	-0.62016         	-0.99994         
1.20000   		0.13986         	0.13473          	-1.00110         
1.20500   		0.10859         	0.75586          	-0.99881         
1.21000   		0.08005         	1.22747          	-0.99379         
1.21500   		0.02136         	1.48100          	-0.98690         
1.22000   		-0.02677        	1.46748          	-0.97943         
1.22500   		-0.02310        	1.34279          	-0.97241         
1.23000   		-0.04637        	1.16912          	-0.96608         
1.23500   		-0.06103        	0.90062          	-0.96088         
1.24000   		-0.06962        	0.57400          	-0.95717         
1.24500   		-0.08664        	0.18337          	-0.95524         
1.25000   		-0.08246        	-0.23935         	-0.95539         
1.25500   		-0.10110        	-0.69825         	-0.95770         
1.26000   		-0.11124        	-1.22911         	-0.96250         
1.26500   		-0.11130        	-1.78548         	-0.97003         
1.27000   		-0.10037        	-2.31465         	-0.98031         
1.27500   		-0.08872        	-2.78739         	-0.99308         
1.28000   		-0.08062        	-3.21074         	-1.00810         
1.28500   		-0.07087        	-3.58947         	-1.02512         
1.29000   		-0.09370        	-4.00088         	-1.04405         
1.29500   		-0.06049        	-4.38634         	-1.06508         
1.30000   		-0.02589        	-4.60230         	-1.08763         
1.30500   		-0.01272        	-4.69884         	-1.11091         
1.31000   		0.00078         	-4.72868         	-1.13450         
1.31500   		-0.07998        	-4.92668         	-1.15847         
1.32000   		-0.13373        	-5.46096         	-1.18433         
1.32500   		-0.17594        	-6.23514         	-1.21348         
1.33000   		-0.19935        	-7.17337         	-1.24696         
1.33500   		-0.15868        	-8.06845         	-1.28515         
1.34000   		-0.14916        	-8.83807         	-1.32743         
1.34500   		-0.08927        	-9.43415         	-1.37324         
1.35000   		-0.04495        	-9.76970         	-1.42134         
1.35500   		-0.01339        	-9.91556         	-1.47062         
1.36000   		0.05139         	-9.82058         	-1.52009         
1.36500   		0.07234         	-9.51125         	-1.56847         
1.37000   		0.11314         	-9.04755         	-1.61495         
1.37500   		0.11103         	-8.48714         	-1.65878         
1.38000   		0.07768         	-8.01537         	-1.69997         
1.38500   		0.06035         	-7.67029         	-1.73915         
1.39000   		0.00816         	-7.49901         	-1.77696         
1.39500   		-0.00755        	-7.49748         	-1.81442         
1.40000   		-0.00799        	-7.53633         	-1.85200         
1.40500   		-0.01271        	-7.58808         	-1.88980         
1.41000   		0.00703         	-7.60227         	-1.92782         
1.41500   		0.02866         	-7.51304         	-1.96565         
1.42000   		0.05902         	-7.29386         	-2.00273         
1.42500   		0.10519         	-6.88334         	-2.03827         
1.43000   		0.13813         	-6.27504         	-2.07124         
1.43500   		0.14361         	-5.57070         	-2.10086         
1.44000   		0.15784         	-4.81708         	-2.12686         
1.44500   		0.14466         	-4.06083         	-2.14903         
1.45000   		0.11881         	-3.40216         	-2.16763         
1.45500   		0.07638         	-2.91418         	-2.18334         
1.46000   		-0.00260        	-2.72972         	-2.19728         
1.46500   		-0.02159        	-2.79018         	-2.21104         
1.47000   		-0.02934        	-2.91751         	-2.22529         
1.47500   		-0.01949        	-3.03959         	-2.24021         
1.48000   		0.02407         	-3.02814         	-2.25547         
1.48500   		0.00786         	-2.94831         	-2.27038         
1.49000   		0.03038         	-2.85271         	-2.28492         
1.49500   		0.11864         	-2.48018         	-2.29844         
1.50000   		0.16385         	-1.77395         	-2.30917         
1.50500   		0.19705         	-0.87169         	-2.31585         
1.51000   		0.21021         	0.14647          	-2.31769         
1.51500   		0.16358         	1.08093          	-2.31453         
1.52000   		0.13869         	1.83660          	-2.30718         
1.52500   		0.07830         	2.37908          	-2.29652         
1.53000   		-0.00732        	2.55656          	-2.28400         
1.53500   		-0.06309        	2.38054          	-2.27154         
1.54000   		-0.12679        	1.90584          	-2.26069         
1.54500   		-0.08672        	1.37206          	-2.25258         
1.55000   		-0.02602        	1.09021          	-2.24655         
1.55500   		0.03704         	1.11778          	-2.24116         
1.56000   		0.13372         	1.54469          	-2.23471         
1.56500   		0.15380         	2.26349          	-2.22523         
1.57000   		0.17868         	3.09470          	-2.21189         
1.57500   		0.12496         	3.85379          	-2.19440         
1.58000   		0.02459         	4.22766          	-2.17399         
1.58500   		-0.00839        	4.26816          	-2.15268         
1.59000   		-0.06547        	4.08353          	-2.13168         
1.59500   		-0.06954        	3.74602          	-2.11210         
1.60000   		-0.04929        	3.44894          	-2.09416         
1.60500   		-0.01884        	3.27863          	-2.07740         
1.61000   		0.04029         	3.33226          	-2.06100         
1.61500   		0.05580         	3.57249          	-2.04377         
1.62000   		0.07383         	3.89658          	-2.02513         
1.62500   		0.07505         	4.26879          	-2.00472         
1.63000   		0.06842         	4.62747          	-1.98247         
1.63500   		0.03914         	4.89635          	-1.95860         
1.64000   		-0.01861        	4.94768          	-1.93387         
1.64500   		-0.04009        	4.80094          	-1.90945         
1.65000   		-0.06859        	4.52926          	-1.88607         
1.65500   		-0.06865        	4.18615          	-1.86428         
1.66000   		-0.04642        	3.89847          	-1.84411         
1.66500   		-0.03898        	3.68497          	-1.82517         
1.67000   		-0.00021        	3.58700          	-1.80707         
1.67500   		0.01140         	3.61497          	-1.78909         
1.68000   		0.01088         	3.67067          	-1.77087         
1.68500   		0.04485         	3.81000          	-1.75224         
1.69000   		0.03914         	4.01999          	-1.73266         
1.69500   		0.01761         	4.16187          	-1.71216         
1.70000   		-0.00928        	4.18268          	-1.69124         
1.70500   		-0.05974        	4.01013          	-1.67065         
1.71000   		-0.06956        	3.68690          	-1.65139         
1.71500   		-0.06924        	3.33992          	-1.63382         
1.72000   		-0.04673        	3.05000          	-1.61789         
1.72500   		0.01598         	2.97311          	-1.60297         
1.73000   		0.05348         	3.14674          	-1.58775         
1.73500   		0.08597         	3.49535          	-1.57121         
1.74000   		0.12011         	4.01054          	-1.55251         
1.74500   		0.13869         	4.65752          	-1.53088         
1.75000   		0.13445         	5.34036          	-1.50588         
1.75500   		0.11025         	5.95209          	-1.47760         
1.76000   		0.03088         	6.30492          	-1.44679         
1.76500   		-0.04723        	6.26406          	-1.41520         
1.77000   		-0.08919        	5.92302          	-1.38465         
1.77500   		-0.17598        	5.26010          	-1.35651         
1.78000   		-0.17545        	4.38153          	-1.33241         
1.78500   		-0.14797        	3.57299          	-1.31258         
1.79000   		-0.11816        	2.90767          	-1.29644         
1.79500   		-0.00784        	2.59268          	-1.28292         
1.80000   		0.02943         	2.64667          	-1.26990         
1.80500   		0.11238         	3.00119          	-1.25595         
1.81000   		0.17643         	3.72321          	-1.23927         
1.81500   		0.13580         	4.50380          	-1.21862         
1.82000   		0.12757         	5.16222          	-1.19444         
1.82500   		0.04409         	5.59135          	-1.16738         
1.83000   		-0.01360        	5.66757          	-1.13911         
1.83500   		-0.03605        	5.54345          	-1.11104         
1.84000   		-0.07771        	5.25905          	-1.08395         
1.84500   		-0.02947        	4.99108          	-1.05842         
1.85000   		-0.01044        	4.89129          	-1.03375         
1.85500   		0.00473         	4.87702          	-1.00937         
1.86000   		0.02130         	4.94210          	-0.98485         
1.86500   		-0.00513        	4.98252          	-0.95999         
1.87000   		0.00099         	4.97218          	-0.93511         
1.87500   		-0.02217        	4.91923          	-0.91034         
1.88000   		-0.03529        	4.77559          	-0.88607         
1.88500   		-0.01590        	4.64761          	-0.86255         
1.89000   		-0.00346        	4.59921          	-0.83946         
1.89500   		0.01961         	4.63960          	-0.81641         
1.90000   		0.02331         	4.74691          	-0.79295         
1.90500   		0.02832         	4.87599          	-0.76891         
1.91000   		0.02614         	5.01214          	-0.74418         
1.91500   		0.01448         	5.11368          	-0.71884         
1.92000   		0.01282         	5.18192          	-0.69310         
1.92500   		0.02605         	5.27910          	-0.66698         
1.93000   		0.05812         	5.48952          	-0.64012         
1.93500   		0.07363         	5.81889          	-0.61188         
1.94000   		0.09006         	6.22809          	-0.58180         
1.94500   		0.10671         	6.72001          	-0.54946         
1.95000   		0.11754         	7.28064          	-0.51449         
1.95500   		0.12388         	7.88418          	-0.47659         
1.96000   		0.10976         	8.46826          	-0.43568         
1.96500   		0.09404         	8.97776          	-0.39203         
1.97000   		0.07289         	9.39508          	-0.34605         
1.97500   		0.04993         	9.70211          	-0.29826         
1.98000   		0.03842         	9.92299          	-0.24917         
1.98500   		0.04863         	10.14062         	-0.19904         
1.99000   		0.06510         	10.42493         	-0.14766         
1.99500   		0.05868         	10.73436         	-0.09475         
2.00000   		0.05173         	11.01038         	-0.04037         
2.00500   		0.06393         	11.29955         	0.01538          
2.01000   		0.09001         	11.68441         	0.07279          
2.01500   		0.11882         	12.20649         	0.13245          
2.02000   		0.15585         	12.89318         	0.19513          
2.02500   		0.20270         	13.78957         	0.26173          
2.03000   		0.23088         	14.87353         	0.33333          
2.03500   		0.19704         	15.94334         	0.41045          
2.04000   		0.09166         	16.66509         	0.49219          
2.04500   		-0.03025        	16.81859         	0.57615          
2.05000   		-0.13303        	16.41038         	0.65944          
2.05500   		-0.21826        	15.53214         	0.73947          
2.06000   		-0.25437        	14.35056         	0.81425          
2.06500   		-0.21552        	13.17585         	0.88299          
2.07000   		-0.14156        	12.28314         	0.94648          
2.07500   		-0.07168        	11.75004         	1.00642          
2.08000   		-0.02337        	11.51242         	1.06447          
2.08500   		0.01255         	11.48538         	1.12189          
2.09000   		0.04334         	11.62510         	1.17961          
2.09500   		0.01737         	11.77687         	1.23816          
2.10000   		-0.03718        	11.72735         	1.29704          
2.10500   		-0.08239        	11.42843         	1.35502          
2.11000   		-0.14175        	10.86807         	1.41089          
2.11500   		-0.19376        	10.02928         	1.46324          
2.12000   		-0.23525        	8.95674          	1.51079          
2.12500   		-0.22990        	7.79386          	1.55266          
2.13000   		-0.17669        	6.77740          	1.58897          
2.13500   		-0.14189        	5.98095          	1.62080          
2.14000   		-0.12539        	5.31276          	1.64900          
2.14500   		-0.12801        	4.67928          	1.67398          
2.15000   		-0.15045        	3.98314          	1.69568          
2.15500   		-0.17851        	3.16074          	1.71360          
2.16000   		-0.20269        	2.20774          	1.72707          
2.16500   		-0.20020        	1.20051          	1.73559          
2.17000   		-0.17488        	0.26281          	1.73920          
2.17500   		-0.18461        	-0.63591         	1.73828          
2.18000   		-0.21700        	-1.63992         	1.73266          
2.18500   		-0.20892        	-2.70472         	1.72178          
2.19000   		-0.28154        	-3.93087         	1.70534          
2.19500   		-0.38268        	-5.59142         	1.68175          
2.20000   		-0.35989        	-7.44787         	1.64910          
2.20500   		-0.35137        	-9.22602         	1.60740          
2.21000   		-0.32174        	-10.90877        	1.55700          
2.21500   		-0.24256        	-12.31951        	1.49877          
2.22000   		-0.21179        	-13.45538        	1.43427          
2.22500   		-0.13077        	-14.31176        	1.36468          
2.23000   		-0.05527        	-14.77686        	1.29180          
2.23500   		-0.05881        	-15.06205        	1.21721          
2.24000   		-0.03180        	-15.28857        	1.14128          
2.24500   		-0.02141        	-15.42159        	1.06448          
2.25000   		-0.03068        	-15.55182        	0.98707          
2.25500   		-0.02154        	-15.68238        	0.90896          
2.26000   		-0.04781        	-15.85574        	0.83017          
2.26500   		-0.02465        	-16.03689        	0.75039          
2.27000   		0.02921         	-16.02550        	0.67012          
2.27500   		0.05510         	-15.81474        	0.59047          
2.28000   		0.09577         	-15.43756        	0.51225          
2.28500   		0.09112         	-14.97032        	0.43624          
2.29000   		0.06275         	-14.58563        	0.36241          
2.29500   		0.04737         	-14.31033        	0.29020          
2.30000   		0.02795         	-14.12202        	0.21916          
2.30500   		0.02397         	-13.99221        	0.14889          
2.31000   		0.05285         	-13.80018        	0.07935          
2.31500   		0.11153         	-13.38924        	0.01125          
2.32000   		0.19069         	-12.63368        	-0.05397         
2.32500   		0.31287         	-11.37478        	-0.11425         
2.33000   		0.36490         	-9.68034         	-0.16699         
2.33500   		0.27962         	-8.06902         	-0.21119         
2.34000   		0.19110         	-6.89224         	-0.24841         
2.34500   		0.10463         	-6.15293         	-0.28084         
2.35000   		-0.03751        	-5.98513         	-0.31089         
2.35500   		-0.09580        	-6.31841         	-0.34153         
2.36000   		-0.06747        	-6.72660         	-0.37420         
2.36500   		-0.01836        	-6.94118         	-0.40847         
2.37000   		0.13437         	-6.65115         	-0.44277         
2.37500   		0.26908         	-5.64251         	-0.47379         
2.38000   		0.31377         	-4.18538         	-0.49845         
2.38500   		0.37392         	-2.46614         	-0.51520         
2.39000   		0.33784         	-0.68674         	-0.52301         
2.39500   		0.21690         	0.70010          	-0.52272         
2.40000   		0.10748         	1.51105          	-0.51697         
2.40500   		-0.06451        	1.61848          	-0.50879         
2.41000   		-0.16717        	1.03927          	-0.50193         
2.41500   		-0.18407        	0.16117          	-0.49889         
2.42000   		-0.15788        	-0.69370         	-0.50028         
2.42500   		-0.01662        	-1.12995         	-0.50513         
2.43000   		0.09453         	-0.93516         	-0.51052         
2.43500   		0.14541         	-0.33531         	-0.51381         
2.44000   		0.15689         	0.42043          	-0.51362         
2.44500   		0.09353         	1.04647          	-0.50982         
2.45000   		0.02057         	1.33171          	-0.50372         
2.45500   		-0.04272        	1.27634          	-0.49707         
2.46000   		-0.06733        	1.00121          	-0.49132         
2.46500   		-0.05065        	0.70625          	-0.48709         
2.47000   		-0.00591        	0.56486          	-0.48401         
2.47500   		0.02537         	0.61351          	-0.48112         
2.48000   		0.02706         	0.74459          	-0.47773         
2.48500   		0.02988         	0.88692          	-0.47366         
2.49000   		0.01049         	0.98785          	-0.46893         
2.49500   		-0.00530        	1.00083          	-0.46393         
2.50000   		-0.03518        	0.89962          	-0.45912         
2.50500   		-0.07167        	0.63248          	-0.45521         
2.51000   		-0.07554        	0.26446          	-0.45296         
2.51500   		-0.06737        	-0.09279         	-0.45255         
2.52000   		-0.02200        	-0.31621         	-0.45366         
2.52500   		0.03172         	-0.29190         	-0.45530         
2.53000   		0.05728         	-0.06939         	-0.45625         
2.53500   		0.04653         	0.19015          	-0.45593         
2.54000   		0.00795         	0.32636          	-0.45456         
2.54500   		-0.01743        	0.30266          	-0.45293         
2.55000   		-0.04247        	0.15291          	-0.45174         
2.55500   		-0.06545        	-0.11688         	-0.45160         
2.56000   		-0.08430        	-0.49123         	-0.45308         
2.56500   		-0.07948        	-0.90066         	-0.45657         
2.57000   		-0.05384        	-1.23394         	-0.46196         
2.57500   		-0.03026        	-1.44420         	-0.46871         
2.58000   		0.00181         	-1.51534         	-0.47617         
2.58500   		-0.00368        	-1.52002         	-0.48375         
2.59000   		-0.02655        	-1.59560         	-0.49149         
2.59500   		-0.06503        	-1.82457         	-0.49996         
2.60000   		-0.09428        	-2.22286         	-0.51002         
2.60500   		-0.07134        	-2.63692         	-0.52222         
2.61000   		-0.05983        	-2.96485         	-0.53624         
2.61500   		-0.03570        	-3.20367         	-0.55172         
2.62000   		0.00886         	-3.27077         	-0.56799         
2.62500   		0.13399         	-2.91366         	-0.58372         
2.63000   		0.28671         	-1.86191         	-0.59597         
2.63500   		0.32270         	-0.33836         	-0.60155         
2.64000   		0.30912         	1.24121          	-0.59926         
2.64500   		0.22318         	2.57198          	-0.58955         
2.65000   		0.10356         	3.38883          	-0.57440         
2.65500   		0.04346         	3.75638          	-0.55641         
2.66000   		-0.01093        	3.83771          	-0.53731         
2.66500   		-0.02833        	3.73955          	-0.51833         
2.67000   		-0.00099        	3.66624          	-0.49988         
2.67500   		0.00079         	3.66572          	-0.48155         
2.68000   		-0.00571        	3.65341          	-0.46324         
2.68500   		-0.01920        	3.59111          	-0.44510         
2.69000   		-0.08090        	3.34085          	-0.42764         
2.69500   		-0.16256        	2.73219          	-0.41229         
2.70000   		-0.24031        	1.72503          	-0.40098         
2.70500   		-0.28709        	0.40653          	-0.39556         
2.71000   		-0.26885        	-0.98333         	-0.39704         
2.71500   		-0.25373        	-2.28979         	-0.40525         
2.72000   		-0.22578        	-3.48857         	-0.41976         
2.72500   		-0.18447        	-4.51419         	-0.43985         
2.73000   		-0.19790        	-5.47012         	-0.46478         
2.73500   		-0.20597        	-6.47980         	-0.49464         
2.74000   		-0.24613        	-7.61006         	-0.52978         
